The rate constant for a reaction is  2.346E-05 s<sup>-1</sup> at 330 K and  6.306E-05 s<sup>-1</sup> at 351 K. What is the energy of activation for the reaction?,  45.34 kJ/mol,  90.68 kJ/mol, 136.02 kJ/mol,  22.67 kJ/mol,  15.11 kJ/mol
The rate constant for a reaction is  2.346E-05 s<sup>-1</sup> at 330 K. What is the Arrhenius A factor if the energy of activation is 45.341 kJ/mol?, 352.77 s<sup>-1</sup>,  705.55 s<sup>-1</sup>,   88.19 s<sup>-1</sup>,  176.39 s<sup>-1</sup>,  117.59 s<sup>-1</sup>
The rate constant for a reaction is  2.346E-05 s<sup>-1</sup> at 330 K. What is the rate constant at 351 K if the energy of activation is 45.341 kJ/mol?, 6.306E-05 s<sup>-1</sup>,  1.261E-04 s<sup>-1</sup>,  1.892E-04 s<sup>-1</sup>,  3.153E-05 s<sup>-1</sup>,  2.102E-05 s<sup>-1</sup>
The rate constant for a reaction is  2.346E-05 s<sup>-1</sup> at 330 K. At what temperature is the rate constant  6.306E-5 if the energy of activation is 45.341 kJ/mol?,351 K, 330 K, 702 K, 176 K, 496 K
The rate constant for a reaction is  1.014E-07 s<sup>-1</sup> at 354 K and  8.971E-07 s<sup>-1</sup> at 393 K. What is the energy of activation for the reaction?,  64.66 kJ/mol, 129.32 kJ/mol, 193.98 kJ/mol,  32.33 kJ/mol,  21.55 kJ/mol
The rate constant for a reaction is  1.014E-07 s<sup>-1</sup> at 354 K. What is the Arrhenius A factor if the energy of activation is 64.662 kJ/mol?, 352.77 s<sup>-1</sup>,  705.55 s<sup>-1</sup>, 1058.32 s<sup>-1</sup>, 1411.10 s<sup>-1</sup>,  176.39 s<sup>-1</sup>
The rate constant for a reaction is  1.014E-07 s<sup>-1</sup> at 354 K. What is the rate constant at 393 K if the energy of activation is 64.662 kJ/mol?, 8.971E-07 s<sup>-1</sup>,  4.486E-07 s<sup>-1</sup>,  2.691E-06 s<sup>-1</sup>,  2.243E-07 s<sup>-1</sup>,  2.990E-07 s<sup>-1</sup>
The rate constant for a reaction is  1.014E-07 s<sup>-1</sup> at 354 K. At what temperature is the rate constant  8.971E-7 if the energy of activation is 64.662 kJ/mol?,393 K, 354 K, 786 K, 197 K, 556 K
The rate constant for a reaction is  1.681E-09 s<sup>-1</sup> at 310 K and  1.482E-06 s<sup>-1</sup> at 419 K. What is the energy of activation for the reaction?,  67.19 kJ/mol, 134.38 kJ/mol, 201.57 kJ/mol, 268.76 kJ/mol,  22.40 kJ/mol
The rate constant for a reaction is  1.681E-09 s<sup>-1</sup> at 310 K. What is the Arrhenius A factor if the energy of activation is 67.191 kJ/mol?, 352.77 s<sup>-1</sup>,  705.55 s<sup>-1</sup>, 1058.32 s<sup>-1</sup>,  176.39 s<sup>-1</sup>,  117.59 s<sup>-1</sup>
The rate constant for a reaction is  1.681E-09 s<sup>-1</sup> at 310 K. What is the rate constant at 419 K if the energy of activation is 67.191 kJ/mol?, 1.482E-06 s<sup>-1</sup>,  7.410E-07 s<sup>-1</sup>,  4.446E-06 s<sup>-1</sup>,  3.705E-07 s<sup>-1</sup>,  4.940E-07 s<sup>-1</sup>
The rate constant for a reaction is  1.681E-09 s<sup>-1</sup> at 310 K. At what temperature is the rate constant  1.482E-6 if the energy of activation is 67.191 kJ/mol?,419 K, 310 K, 838 K, 210 K, 592 K
The rate constant for a reaction is  3.753E-03 s<sup>-1</sup> at 325 K and  3.138E-02 s<sup>-1</sup> at 399 K. What is the energy of activation for the reaction?,  30.94 kJ/mol,  61.88 kJ/mol,  92.82 kJ/mol,  15.47 kJ/mol,  10.31 kJ/mol
