A volitile liquid has a vapor pressure of 0.426 atm at 286 K. The enthalpy of vaporization is 18.69 kJ/mol. What is the vapor ressure at 347 K?, 1.710 atm, 1.283 atm, 0.426 atm, 0.642 atm, 2.564 atm
A volitile liquid (&Delta;H<sub>vap</sub> = 18.69 kJ/mol) has a vapor pressure of 0.426 atm at 286 K. At what temperature is the vapor pressure 1.710 atm?, 347 K, 286 K, 204 K, 490 K,  61 K
A volitile liquid has a vapor pressure of 0.426 atm at 286 K and a vapor pressure of 1.710 atm at 347 K. What is the enthalpy of vaporization (&Delta; H<sub>vap</sub>) for the liquid?, 18.69 kJ/mol, 37.37 kJ/mol,  9.34 kJ/mol, 28.03 kJ/mol, 18687 kJ/mol
A volitile liquid with &Delta;H<sub>vap</sub> = 18.69 kJ/mol has a vapor pressure of 0.426 atm at 286 K. What is the normal boiling temperature is the liquid?, 321 K, 286 K, 347 K, 490 K,  61 K
A volitile liquid has a vapor pressure of 0.325 atm at 293 K. The enthalpy of vaporization is 32.82 kJ/mol. What is the vapor ressure at 330 K?, 1.480 atm, 1.155 atm, 0.325 atm, 0.577 atm, 2.221 atm
A volitile liquid (&Delta;H<sub>vap</sub> = 32.82 kJ/mol) has a vapor pressure of 0.325 atm at 293 K. At what temperature is the vapor pressure 1.480 atm?, 330 K, 293 K, 184 K, 477 K,  37 K
A volitile liquid has a vapor pressure of 0.325 atm at 293 K and a vapor pressure of 1.480 atm at 330 K. What is the enthalpy of vaporization (&Delta; H<sub>vap</sub>) for the liquid?, 32.82 kJ/mol, 65.64 kJ/mol, 16.41 kJ/mol, 49.23 kJ/mol, 32822 kJ/mol
A volitile liquid with &Delta;H<sub>vap</sub> = 32.82 kJ/mol has a vapor pressure of 0.325 atm at 293 K. What is the normal boiling temperature is the liquid?, 320 K, 293 K, 330 K, 477 K,  37 K
A volitile liquid has a vapor pressure of 0.454 atm at 291 K. The enthalpy of vaporization is 22.42 kJ/mol. What is the vapor ressure at 331 K?, 1.390 atm, 0.937 atm, 0.454 atm, 0.468 atm, 2.086 atm
A volitile liquid (&Delta;H<sub>vap</sub> = 22.42 kJ/mol) has a vapor pressure of 0.454 atm at 291 K. At what temperature is the vapor pressure 1.390 atm?, 331 K, 291 K, 186 K, 477 K,  40 K
