A first order reaction<p>A --> products<p>has a rate constant k =  5.644E-03 s<sup>-1</sup>. What is the concentration after  10.0 seconds if the initial concentration is 2.533 M?,  2.394E+00 M,  2.477E+00 M,  2.216E+00 M,  2.263E+00 M,  2.463E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  5.644E-03 s<sup>-1</sup>. What is the concentration after  30.0 seconds if the initial concentration is 2.533 M?,  2.139E+00 M,  2.364E+00 M,  1.773E+00 M,  1.806E+00 M,  2.328E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  5.644E-03 s<sup>-1</sup>. What is the concentration after  50.0 seconds if the initial concentration is 2.533 M?,  1.910E+00 M,  2.251E+00 M,  1.477E+00 M,  1.441E+00 M,  2.200E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  5.644E-03 s<sup>-1</sup>. What is the concentration after  70.0 seconds if the initial concentration is 2.533 M?,  1.707E+00 M,  2.138E+00 M,  1.266E+00 M,  1.150E+00 M,  2.079E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  5.644E-03 s<sup>-1</sup>. What is the concentration after  90.0 seconds if the initial concentration is 2.533 M?,  1.524E+00 M,  2.025E+00 M,  1.108E+00 M,  9.172E-01 M,  1.965E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  5.644E-03 s<sup>-1</sup>. What is the concentration after 110.0 seconds if the initial concentration is 2.533 M?,  1.362E+00 M,  1.913E+00 M,  9.846E-01 M,  7.318E-01 M,  1.857E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  4.636E-03 s<sup>-1</sup>. What is the concentration after  10.0 seconds if the initial concentration is 2.290 M?,  2.186E+00 M,  2.243E+00 M,  2.070E+00 M,  2.087E+00 M,  2.237E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  4.636E-03 s<sup>-1</sup>. What is the concentration after  30.0 seconds if the initial concentration is 2.290 M?,  1.992E+00 M,  2.150E+00 M,  1.737E+00 M,  1.734E+00 M,  2.136E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  4.636E-03 s<sup>-1</sup>. What is the concentration after  50.0 seconds if the initial concentration is 2.290 M?,  1.816E+00 M,  2.058E+00 M,  1.496E+00 M,  1.440E+00 M,  2.039E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  4.636E-03 s<sup>-1</sup>. What is the concentration after  70.0 seconds if the initial concentration is 2.290 M?,  1.655E+00 M,  1.965E+00 M,  1.314E+00 M,  1.196E+00 M,  1.947E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  4.636E-03 s<sup>-1</sup>. What is the concentration after  90.0 seconds if the initial concentration is 2.290 M?,  1.508E+00 M,  1.872E+00 M,  1.171E+00 M,  9.939E-01 M,  1.858E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  4.636E-03 s<sup>-1</sup>. What is the concentration after 110.0 seconds if the initial concentration is 2.290 M?,  1.375E+00 M,  1.780E+00 M,  1.056E+00 M,  8.256E-01 M,  1.774E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  2.416E-03 s<sup>-1</sup>. What is the concentration after  10.0 seconds if the initial concentration is 2.775 M?,  2.709E+00 M,  2.751E+00 M,  2.600E+00 M,  2.644E+00 M,  2.741E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  2.416E-03 s<sup>-1</sup>. What is the concentration after  30.0 seconds if the initial concentration is 2.775 M?,  2.581E+00 M,  2.702E+00 M,  2.310E+00 M,  2.400E+00 M,  2.676E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  2.416E-03 s<sup>-1</sup>. What is the concentration after  50.0 seconds if the initial concentration is 2.775 M?,  2.459E+00 M,  2.654E+00 M,  2.078E+00 M,  2.179E+00 M,  2.612E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  2.416E-03 s<sup>-1</sup>. What is the concentration after  70.0 seconds if the initial concentration is 2.775 M?,  2.343E+00 M,  2.606E+00 M,  1.889E+00 M,  1.979E+00 M,  2.550E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  2.416E-03 s<sup>-1</sup>. What is the concentration after  90.0 seconds if the initial concentration is 2.775 M?,  2.233E+00 M,  2.557E+00 M,  1.731E+00 M,  1.796E+00 M,  2.489E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  2.416E-03 s<sup>-1</sup>. What is the concentration after 110.0 seconds if the initial concentration is 2.775 M?,  2.127E+00 M,  2.509E+00 M,  1.597E+00 M,  1.631E+00 M,  2.430E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  1.121E-04 s<sup>-1</sup>. What is the concentration after  10.0 seconds if the initial concentration is 2.761 M?,  2.758E+00 M,  2.760E+00 M,  2.752E+00 M,  2.755E+00 M,  2.759E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  1.121E-04 s<sup>-1</sup>. What is the concentration after  30.0 seconds if the initial concentration is 2.761 M?,  2.751E+00 M,  2.757E+00 M,  2.735E+00 M,  2.742E+00 M,  2.756E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  1.121E-04 s<sup>-1</sup>. What is the concentration after  50.0 seconds if the initial concentration is 2.761 M?,  2.745E+00 M,  2.755E+00 M,  2.719E+00 M,  2.730E+00 M,  2.753E+00 M
A first order reaction<p>A --> products<p>has a rate constant k =  1.121E-04 s<sup>-1</sup>. What is the concentration after  70.0 seconds if the initial concentration is 2.761 M?,  2.739E+00 M,  2.753E+00 M,  2.702E+00 M,  2.718E+00 M,  2.750E+00 M
