The electronic configuration of H is ___.,1s<sup>1</s>,1s<sup>2</sup>,1s<sup>2</sup> 2s<sup>1</sup>,1s<sup>2</sup> 2s<sup>2</sup>,1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>1</sup>
The electronic configuration of He is ___.,1s<sup>2</sup>,1s<sup>2</sup> 2s<sup>1</sup>,1s<sup>2</sup> 2s<sup>2</sup>,1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>1</sup>,1s<sup>1</s>
The electronic configuration of Li is ___.,1s<sup>2</sup> 2s<sup>1</sup>,1s<sup>2</sup> 2s<sup>2</sup>,1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>1</sup>,1s<sup>1</s>,1s<sup>2</sup>
The electronic configuration of Be is ___.,1s<sup>2</sup> 2s<sup>2</sup>,1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>1</sup>,1s<sup>1</s>,1s<sup>2</sup>,1s<sup>2</sup> 2s<sup>1</sup>
The electronic configuration of B is ___.,1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>1</sup>,1s<sup>1</s>,1s<sup>2</sup>,1s<sup>2</sup> 2s<sup>1</sup>,1s<sup>2</sup> 2s<sup>2</sup>
The electronic configuration of C is ___.,[He] 2s<sup>2</sup> 2p<sup>2</sup>,[He] 2s<sup>2</sup> 2p<sup>3</sup>,[He] 2s<sup>2</sup> 2p<sup>4</sup>,[He] 2s<sup>2</sup> 2p<sup>5</sup>,[He] 2s<sup>2</sup> 2p<sup>6</sup>
The electronic configuration of N is ___.,[He] 2s<sup>2</sup> 2p<sup>3</sup>,[He] 2s<sup>2</sup> 2p<sup>4</sup>,[He] 2s<sup>2</sup> 2p<sup>5</sup>,[He] 2s<sup>2</sup> 2p<sup>6</sup>,[He] 2s<sup>2</sup> 2p<sup>2</sup>
The electronic configuration of O is ___.,[He] 2s<sup>2</sup> 2p<sup>4</sup>,[He] 2s<sup>2</sup> 2p<sup>5</sup>,[He] 2s<sup>2</sup> 2p<sup>6</sup>,[He] 2s<sup>2</sup> 2p<sup>2</sup>,[He] 2s<sup>2</sup> 2p<sup>3</sup>
The electronic configuration of F is ___.,[He] 2s<sup>2</sup> 2p<sup>5</sup>,[He] 2s<sup>2</sup> 2p<sup>6</sup>,[He] 2s<sup>2</sup> 2p<sup>2</sup>,[He] 2s<sup>2</sup> 2p<sup>3</sup>,[He] 2s<sup>2</sup> 2p<sup>4</sup>
The electronic configuration of Ne is ___.,[He] 2s<sup>2</sup> 2p<sup>6</sup>,[He] 2s<sup>2</sup> 2p<sup>2</sup>,[He] 2s<sup>2</sup> 2p<sup>3</sup>,[He] 2s<sup>2</sup> 2p<sup>4</sup>,[He] 2s<sup>2</sup> 2p<sup>5</sup>
The electronic configuration of Na is ___.,[Ne] 3s<sup>1</sup>,[Ne] 3s<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>1</sup>,[Ne] 3s<sup>2</sup> 3p<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>3</sup>
The electronic configuration of Mg is ___.,[Ne] 3s<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>1</sup>,[Ne] 3s<sup>2</sup> 3p<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>3</sup>,[Ne] 3s<sup>1</sup>
The electronic configuration of Al is ___.,[Ne] 3s<sup>2</sup> 3p<sup>1</sup>,[Ne] 3s<sup>2</sup> 3p<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>3</sup>,[Ne] 3s<sup>1</sup>,[Ne] 3s<sup>2</sup>
The electronic configuration of Si is ___.,[Ne] 3s<sup>2</sup> 3p<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>3</sup>,[Ne] 3s<sup>1</sup>,[Ne] 3s<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>1</sup>
The electronic configuration of P is ___.,[Ne] 3s<sup>2</sup> 3p<sup>3</sup>,[Ne] 3s<sup>1</sup>,[Ne] 3s<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>1</sup>,[Ne] 3s<sup>2</sup> 3p<sup>2</sup>
The electronic configuration of S is ___.,[Ne] 3s<sup>2</sup> 3p<sup>4</sup>,[Ne] 3s<sup>2</sup> 3p<sup>5</sup>,[Ne] 3s<sup>2</sup> 3p<sup>6</sup>,[Ne] 3s<sup>2</sup> 3p<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>3</sup>
The electronic configuration of Cl is ___.,[Ne] 3s<sup>2</sup> 3p<sup>5</sup>,[Ne] 3s<sup>2</sup> 3p<sup>6</sup>,[Ne] 3s<sup>2</sup> 3p<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>3</sup>,[Ne] 3s<sup>2</sup> 3p<sup>4</sup>
The electronic configuration of Ar is ___.,[Ne] 3s<sup>2</sup> 3p<sup>6</sup>,[Ne] 3s<sup>2</sup> 3p<sup>2</sup>,[Ne] 3s<sup>2</sup> 3p<sup>3</sup>,[Ne] 3s<sup>2</sup> 3p<sup>4</sup>,[Ne] 3s<sup>2</sup> 3p<sup>5</sup>
The electronic configuration of K is ___.,[Ar] 4s<sup>1</sup>,[Ar] 4s<sup>2</sup>,[Ar],[Ne] 3s<sup>1</sup>,[Ne] 3s<sup>2</sup>
The electronic configuration of Ca is ___.,[Ar] 4s<sup>2</sup>,[Ar],[Ne] 3s<sup>1</sup>,[Ne] 3s<sup>2</sup>,[Ar] 4s<sup>1</sup>
The electronic configuration of Sc is ___.,[Ar] 4s<sup>2</sup> 3d<sup>1</sup>,[Ar] 4s<sup>2</sup> 3d<sup>2</sup>,[Ar] 4s<sup>2</sup> 3d<sup>3</sup>,[Ar] 4s<sup>2</sup> 3d<sup>4</sup>,[Ar] 4s<sup>1</sup> 3d<sup>5</sup>
The electronic configuration of Ti is ___.,[Ar] 4s<sup>2</sup> 3d<sup>2</sup>,[Ar] 4s<sup>2</sup> 3d<sup>3</sup>,[Ar] 4s<sup>2</sup> 3d<sup>4</sup>,[Ar] 4s<sup>1</sup> 3d<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>1</sup>
The electronic configuration of V is ___.,[Ar] 4s<sup>2</sup> 3d<sup>3</sup>,[Ar] 4s<sup>2</sup> 3d<sup>4</sup>,[Ar] 4s<sup>1</sup> 3d<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>1</sup>,[Ar] 4s<sup>2</sup> 3d<sup>2</sup>
The electronic configuration of Mn is ___.,[Ar] 4s<sup>1</sup> 3d<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>3</sup>,[Ar] 4s<sup>2</sup> 3d<sup>4</sup>,[Ar] 4s<sup>2</sup> 3d<sup>1</sup>,[Ar] 4s<sup>2</sup> 3d<sup>2</sup>
The electronic configuration of Cr is ___.,[Ar] 4s<sup>2</sup> 3d<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>6</sup>,[Ar] 4s<sup>2</sup> 3d<sup>7</sup>,[Ar] 4s<sup>1</sup> 3d<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>3</sup>
The electronic configuration of Fe is ___.,[Ar] 4s<sup>2</sup> 3d<sup>6</sup>,[Ar] 4s<sup>2</sup> 3d<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>7</sup>,[Ar] 4s<sup>1</sup> 3d<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>3</sup>
The electronic configuration of Co is ___.,[Ar] 4s<sup>2</sup> 3d<sup>7</sup>,[Ar] 4s<sup>2</sup> 3d<sup>8</sup>,[Ar] 4s<sup>1</sup> 3d<sup>10</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup>,[Ar] 4s<sup>2</sup> 3d<sup>9</sup>
The electronic configuration of Ni is ___.,[Ar] 4s<sup>2</sup> 3d<sup>8</sup>,[Ar] 4s<sup>1</sup> 3d<sup>10</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup>,[Ar] 4s<sup>2</sup> 3d<sup>9</sup>,[Ar] 4s<sup>2</sup> 3d<sup>7</sup>
The electronic configuration of Cu is ___.,[Ar] 4s<sup>1</sup> 3d<sup>10</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup>,[Ar] 4s<sup>2</sup> 3d<sup>9</sup>,[Ar] 4s<sup>2</sup> 3d<sup>7</sup>,[Ar] 4s<sup>2</sup> 3d<sup>8</sup>
The electronic configuration of Zn is ___.,[Ar] 4s<sup>2</sup> 3d<sup>10</sup>,[Ar] 4s<sup>2</sup> 3d<sup>9</sup>,[Ar] 4s<sup>2</sup> 3d<sup>7</sup>,[Ar] 4s<sup>2</sup> 3d<sup>8</sup>,[Ar] 4s<sup>1</sup> 3d<sup>10</sup>
The electronic configuration of Ga is ___.,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>1</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>2</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>3</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>4</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>5</sup>
The electronic configuration of Ge is ___.,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>2</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>3</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>4</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>6</sup>
The electronic configuration of As is ___.,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>3</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>4</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>6</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>1</sup>
The electronic configuration of Se is ___.,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>4</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>6</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>1</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>2</sup>
The electronic configuration of Br is ___.,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>5</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>6</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>1</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>2</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>3</sup>
The electronic configuration of Kr is ___.,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>6</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>1</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>2</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>3</sup>,[Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>4</sup>
What is the element with a ground state eletronic configuration of 1s<sup>1</s>?,H,He,Li,Be,B
What is the element with a ground state eletronic configuration of 1s<sup>2</sup>?,He,Li,Be,B,H
What is the element with a ground state eletronic configuration of [He] 2s<sup>1</sup>?,Li,Be,B,H,He
What is the element with a ground state eletronic configuration of [He] 2s<sup>2</sup>?,Be,B,H,He,Li
What is the element with a ground state eletronic configuration of [He] 2s<sup>2</sup> 2p<sup>1</sup>?,B,H,He,Li,Be
What is the element with a ground state eletronic configuration of [He] 2s<sup>2</sup> 2p<sup>2</sup>?,C,N,O,F,Ne
