A solution is made by dissolving 17.644 g of napthalene (128.17 g/mol)  in 450.0 g of benzene (T<sub>b</sub> =   80.1 <sup>o</sup>C and K<sub>b</sub> =  2.530 <sup>o</sup>C/m) What is the boiling point of the solution?,   80.9 <sup>o</sup>C,   79.3 <sup>o</sup>C,   80.1 <sup>o</sup>C,   -0.8 <sup>o</sup>C,    0.8 <sup>o</sup>C
A solution is made by dissolving 16.636 g of biphenyl (154.21 g/mol)  in 300.0 g of benzene (T<sub>b</sub> =   80.1 <sup>o</sup>C and K<sub>b</sub> =  2.530 <sup>o</sup>C/m) What is the boiling point of the solution?,   81.2 <sup>o</sup>C,   79.0 <sup>o</sup>C,   80.1 <sup>o</sup>C,   -1.1 <sup>o</sup>C,    1.1 <sup>o</sup>C
A solution is made by dissolving 14.416 g of anthracene (178.23 g/mol)  in 600.0 g of benzene (T<sub>b</sub> =   80.1 <sup>o</sup>C and K<sub>b</sub> =  2.530 <sup>o</sup>C/m) What is the boiling point of the solution?,   80.6 <sup>o</sup>C,   79.6 <sup>o</sup>C,   80.1 <sup>o</sup>C,   -0.5 <sup>o</sup>C,    0.5 <sup>o</sup>C
A solution is made by dissolving 12.112 g of benzophenone (182.22 g/mol)  in 600.0 g of benzene (T<sub>b</sub> =   80.1 <sup>o</sup>C and K<sub>b</sub> =  2.530 <sup>o</sup>C/m) What is the boiling point of the solution?,   80.5 <sup>o</sup>C,   79.7 <sup>o</sup>C,   80.1 <sup>o</sup>C,   -0.4 <sup>o</sup>C,    0.4 <sup>o</sup>C
A solution is made by dissolving 18.516 g of bromobenzene (157.01 g/mol)  in 450.0 g of benzene (T<sub>b</sub> =   80.1 <sup>o</sup>C and K<sub>b</sub> =  2.530 <sup>o</sup>C/m) What is the boiling point of the solution?,   80.9 <sup>o</sup>C,   79.3 <sup>o</sup>C,   80.1 <sup>o</sup>C,   -0.8 <sup>o</sup>C,    0.8 <sup>o</sup>C
A solution is made by dissolving 12.363 g of toluene ( 92.14 g/mol)  in 300.0 g of benzene (T<sub>b</sub> =   80.1 <sup>o</sup>C and K<sub>b</sub> =  2.530 <sup>o</sup>C/m) What is the boiling point of the solution?,   80.9 <sup>o</sup>C,   79.3 <sup>o</sup>C,   80.1 <sup>o</sup>C,   -0.8 <sup>o</sup>C,    0.8 <sup>o</sup>C
A solution is made by dissolving 18.901 g of xylene (106.16 g/mol)  in 600.0 g of benzene (T<sub>b</sub> =   80.1 <sup>o</sup>C and K<sub>b</sub> =  2.530 <sup>o</sup>C/m) What is the boiling point of the solution?,   80.7 <sup>o</sup>C,   79.5 <sup>o</sup>C,   80.1 <sup>o</sup>C,   -0.6 <sup>o</sup>C,    0.6 <sup>o</sup>C
A solution is made by dissolving 14.988 g of acetone ( 58.08 g/mol)  in 600.0 g of benzene (T<sub>b</sub> =   80.1 <sup>o</sup>C and K<sub>b</sub> =  2.530 <sup>o</sup>C/m) What is the boiling point of the solution?,   80.6 <sup>o</sup>C,   79.6 <sup>o</sup>C,   80.1 <sup>o</sup>C,   -0.5 <sup>o</sup>C,    0.5 <sup>o</sup>C
A solution is made by dissolving 18.972 g of 3-penanone ( 86.13 g/mol)  in 150.0 g of benzene (T<sub>b</sub> =   80.1 <sup>o</sup>C and K<sub>b</sub> =  2.530 <sup>o</sup>C/m) What is the boiling point of the solution?,   82.6 <sup>o</sup>C,   77.6 <sup>o</sup>C,   80.1 <sup>o</sup>C,   -2.5 <sup>o</sup>C,    2.5 <sup>o</sup>C
A solution is made by dissolving 19.596 g of 2-pentanal ( 88.15 g/mol)  in 300.0 g of benzene (T<sub>b</sub> =   80.1 <sup>o</sup>C and K<sub>b</sub> =  2.530 <sup>o</sup>C/m) What is the boiling point of the solution?,   81.4 <sup>o</sup>C,   78.8 <sup>o</sup>C,   80.1 <sup>o</sup>C,   -1.3 <sup>o</sup>C,    1.3 <sup>o</sup>C
A solution is made by dissolving 16.199 g of napthalene (128.17 g/mol)  in 600.0 g of ethanol (T<sub>b</sub> =   78.4 <sup>o</sup>C and K<sub>b</sub> =  1.220 <sup>o</sup>C/m) What is the boiling point of the solution?,   78.6 <sup>o</sup>C,   78.2 <sup>o</sup>C,   78.4 <sup>o</sup>C,   -0.2 <sup>o</sup>C,    0.2 <sup>o</sup>C
A solution is made by dissolving 12.428 g of biphenyl (154.21 g/mol)  in 450.0 g of ethanol (T<sub>b</sub> =   78.4 <sup>o</sup>C and K<sub>b</sub> =  1.220 <sup>o</sup>C/m) What is the boiling point of the solution?,   78.6 <sup>o</sup>C,   78.2 <sup>o</sup>C,   78.4 <sup>o</sup>C,   -0.2 <sup>o</sup>C,    0.2 <sup>o</sup>C
A solution is made by dissolving 15.750 g of anthracene (178.23 g/mol)  in 300.0 g of ethanol (T<sub>b</sub> =   78.4 <sup>o</sup>C and K<sub>b</sub> =  1.220 <sup>o</sup>C/m) What is the boiling point of the solution?,   78.8 <sup>o</sup>C,   78.0 <sup>o</sup>C,   78.4 <sup>o</sup>C,   -0.4 <sup>o</sup>C,    0.4 <sup>o</sup>C
A solution is made by dissolving 16.982 g of benzophenone (182.22 g/mol)  in 450.0 g of ethanol (T<sub>b</sub> =   78.4 <sup>o</sup>C and K<sub>b</sub> =  1.220 <sup>o</sup>C/m) What is the boiling point of the solution?,   78.7 <sup>o</sup>C,   78.1 <sup>o</sup>C,   78.4 <sup>o</sup>C,   -0.3 <sup>o</sup>C,    0.3 <sup>o</sup>C
A solution is made by dissolving 14.110 g of bromobenzene (157.01 g/mol)  in 300.0 g of ethanol (T<sub>b</sub> =   78.4 <sup>o</sup>C and K<sub>b</sub> =  1.220 <sup>o</sup>C/m) What is the boiling point of the solution?,   78.8 <sup>o</sup>C,   78.0 <sup>o</sup>C,   78.4 <sup>o</sup>C,   -0.4 <sup>o</sup>C,    0.4 <sup>o</sup>C
