What is the name of BO<sub>3</sub><sup>3-</sup>?,borate,borite,borax,boron trioxide,boric acid
What is the name of CO<sub>3</sub><sup>2-</sup>?,carbonate,carbonite,hydrogen carbonate,carbon trioxide,carbonic acid
What is the name of HCO<sub>3</sub><sup>-</sup>?,hydrogen carbonate,carbonate,carbonite,carbonic acid,hydrogen carbonite
What is the name of NO<sub>3</sub><sup>-</sup>?,nitrate,nitrite,nitrogen trioxide,nitric acid,nitride
What is the name of NO<sub>2</sub><sup>-</sup>?,nitrite,nitrate,nitrogen dioxide,nitric acid,nitride
What is the name of SiO<sub>4</sub><sup>4-</sup>?,<i>ortho</i>-silicate,<i>meta</i>-silicate,silicon tetroxide,silicic acid,silicide
What is the name of SiO<sub>3</sub><sup>2-</sup>?,<i>meta</i>-silicate,<i>ortho</i>-silicate,silicon trioxide,silicic acid,silicide
What is the name of PO<sub>4</sub><sup>3-</sup>?,<i>ortho</i>-phosphate,<i>meta</i>-phosphate,phosphorus tetroxide,phosphoric acid,phosphide
What is the name of PO<sub>3</sub><sup>-</sup>?,<i>meta</i>-phosphate,<i>ortho</i>-phosphate,phosphorus trioxide,phosphoric acid,phosphide
What is the name of HPO<sub>4</sub><sup>2-</sup>?,hydrogen phosphate,dihydrogen phosphate,phosphate,phosphoric acid,phosgene
What is the name of H<sub>2</sub>PO<sub>4</sub><sup>-</sup>?,dihydrogen phosphate,hydrogen phosphate,phosphate,phosphoric acid,phosgene
What is the name of SO<sub>4</sub><sup>2-</sup>?,sulfate,sulfite,thiosulfate,sulfuric acid,hydrogen sulfate
What is the name of SO<sub>3</sub><sup>2-</sup>?,sulfite,sulfate,thiosulfate,sulfuric acid,hydrogen sulfate
What is the name of HSO<sub>4</sub><sup>-</sup>?,hydrogen sulfate,sulfite,sulfate,thiosulfate,hydrogen sulfite
What is the name of HSO<sub>3</sub><sup>-</sup>?,hydrogen sulfite,sulfite,sulfate,thiosulfate,hydrogen sulfate
What is the name of S<sub>2</sub>O<sub>3</sub><sup>2-</sup>?,thiosulfate,hydrogen sulfite,sulfite,sulfate,sulfuric acid
What is the name of ClO<sub>4</sub><sup>-</sup>?,perchlorate,chlorate,chlorite,hypochlorite,chloride
What is the name of ClO<sub>3</sub><sup>-</sup>?,chlorate,chlorite,hypochlorite,chloride,perchlorate
What is the name of ClO<sub>2</sub><sup>-</sup>?,chlorite,hypochlorite,chloride,perchlorate,chlorate
What is the name of ClO<sup>-</sup>?,hypochlorite,chloride,perchlorate,chlorate,chlorite
What is the name of Cl<sup>-</sup>?,chloride,perchlorate,chlorate,chlorite,hypochlorite
What is the name of BrO<sub>4</sub><sup>-</sup>?,perbromate,bromate,bromite,hypobromite,bromide
What is the name of BrO<sub>3</sub><sup>-</sup>?,bromate,bromite,hypobromite,bromide,perbromate
What is the name of BrO<sub>2</sub><sup>-</sup>?,bromite,hypobromite,bromide,perbromate,bromate
What is the name of BrO<sup>-</sup>?,hypobromite,bromide,perbromate,bromate,bromite
What is the name of Br<sup>-</sup>?,bromide,perbromate,bromate,bromite,hypobromite
What is the name of IO<sub>4</sub><sup>-</sup>?,periodate,iodate,iodite,hypoiodite,iodide
What is the name of IO<sub>3</sub><sup>-</sup>?,iodate,iodite,hypoiodite,iodide,periodate
What is the name of IO<sub>2</sub><sup>-</sup>?,iodite,hypoiodite,iodide,periodate,iodate
What is the name of IO<sup>-</sup>?,hypoiodite,iodide,periodate,iodate,iodite
What is the name of I<sup>-</sup>?,iodide,periodate,iodate,iodite,hypoiodite
What is the name of AsO<sub>4</sub><sup>3-</sup>?,arsenate,<i>ortho</i>-arsenite,<i>meta</i>-arsenite,arsenic tetroxide,arsenic acid
