What is the formula for borate?,BO<sub>3</sub><sup>3-</sup>,BO<sub>3</sub><sup>2-</sup>,BO<sub>3</sub><sup>-</sup>,BO<sub>4</sub><sup>3-</sup>,BO<sub>4</sub><sup>2-</sup>
What is the formula for carbonate?,CO<sub>3</sub><sup>2-</sup>,CO<sub>2</sub><sup>2-</sup>,CO<sub>3</sub><sup>-</sup>,CO<sub>4</sub><sup>2-</sup>,CO<sub>2</sub><sup>-</sup>
What is the formula for hydrogen carbonate?,HCO<sub>3</sub><sup>-</sup>,HCO<sub>2</sub><sup>-</sup>,HCO<sub>3</sub><sup>2-</sup>,HCO<sub>4</sub><sup>2-</sup>,HCO<sub>2</sub><sup>2-</sup>
What is the formula for nitrate?,NO<sub>3</sub><sup>-</sup>,NO<sub>2</sub><sup>-</sup>,NO<sub>4</sub><sup>-</sup>,NO<sub>3</sub><sup>2-</sup>,NO<sub>4</sub><sup>2-</sup>
What is the formula for nitrite?,NO<sub>2</sub><sup>-</sup>,NO<sub>3</sub><sup>-</sup>,NO<sub>2</sub><sup>2-</sup>,NO<sub>3</sub><sup>2-</sup>,NO<sub>4</sub><sup>-</sup>
What is the formula for <i>ortho</i>-silicate?,SiO<sub>4</sub><sup>4-</sup>,SiO<sub>3</sub><sup>2-</sup>,SiO<sub>4</sub><sup>2-</sup>,SiO<sub>3</sub><sup>4-</sup>,SiO<sub>4</sub><sup>2-</sup>
What is the formula for <i>meta</i>-silicate?,SiO<sub>3</sub><sup>2-</sup>,SiO<sub>4</sub><sup>4-</sup>,SiO<sub>4</sub><sup>2-</sup>,SiO<sub>3</sub><sup>4-</sup>,SiO<sub>4</sub><sup>3-</sup>
What is the formula for <i>ortho</i>-phosphate?,PO<sub>4</sub><sup>3-</sup>,PO<sub>3</sub><sup>-</sup>,PO<sub>4</sub><sup>2-</sup>,PO<sub>3</sub><sup>2-</sup>,PO<sub>3</sub><sup>3-</sup>
What is the formula for <i>meta</i>-phosphate,PO<sub>3</sub><sup>-</sup>,PO<sub>4</sub><sup>4-</sup>,PO<sub>3</sub><sup>3-</sup>,PO<sub>3</sub><sup>4-</sup>,PO<sub>4</sub><sup>4-</sup>
What is the formula for hydrogen phosphate?,HPO<sub>4</sub><sup>2-</sup>,HPO<sub>3</sub><sup>2-</sup>,HPO<sub>4</sub><sup>-</sup>,HPO<sub>3</sub><sup>-</sup>,H<sub>2</sub>PO<sub>4</sub><sup>-</sup>
What is the formula for dihydrogen phosphate?,H<sub>2</sub>PO<sub>4</sub><sup>-</sup>,HPO<sub>4</sub><sup>2-</sup>,H<sub>2</sub>PO<sub>3</sub><sup>-</sup>,H<sub>2</sub>PO<sub>4</sub><sup>2-</sup>,H<sub>2</sub>PO<sub>3</sub><sup>2-</sup>
What is the formula for sulfate?,SO<sub>4</sub><sup>2-</sup>,SO<sub>3</sub><sup>2-</sup>,SO<sub>4</sub><sup>-</sup>,SO<sub>3</sub><sup>-</sup>,S<sub>2</sub>O<sub>3</sub><sup>2-</sup>
What is the formula for sulfite?,SO<sub>3</sub><sup>2-</sup>,SO<sub>4</sub><sup>2-</sup>,SO<sub>3</sub><sup>-</sup>,SO<sub>4</sub><sup>-</sup>,S<sub>2</sub>O<sub>3</sub><sup>2-</sup>
What is the formula for hydrogen sulfate?,HSO<sub>4</sub><sup>-</sup>,HSO<sub>3</sub><sup>-</sup>,HSO<sub>4</sub><sup>2-</sup>,HSO<sub>3</sub><sup>2-</sup>,HSO<sub>2</sub><sup>-</sup>
What is the formula for hydrogen sulfite?,HSO<sub>3</sub><sup>-</sup>,HSO<sub>4</sub><sup>-</sup>,HSO<sub>3</sub><sup>2-</sup>,HSO<sub>4</sub><sup>2-</sup>,HSO<sub>2</sub><sup>-</sup>
What is the formula for thiosulfate?,S<sub>2</sub>O<sub>3</sub><sup>2-</sup>,S<sub>3</sub>O<sub>3</sub><sup>2-</sup>,S<sub>4</sub>O<sup>2-</sup>,S<sub>5</sub><sup>2-</sup>,SO<sub>4</sub><sup>2-</sup>
What is the formula for perchlorate?,ClO<sub>4</sub><sup>-</sup>,ClO<sub>3</sub><sup>-</sup>,ClO<sub>2</sub><sup>-</sup>,ClO-</sup>,Cl<sup>-</sup>
What is the formula for chlorate?,ClO<sub>3</sub><sup>-</sup>,ClO<sub>4</sub><sup>-</sup>,ClO<sub>2</sub><sup>-</sup>,ClO</sup>-</sup>,Cl<sup>-</sup>
What is the formula for chlorite?,ClO<sub>2</sub><sup>-</sup>,ClO<sub>3</sub><sup>-</sup>,ClO<sub>4</sub><sup>-</sup>,ClO</sup>-</sup>,Cl<sup>-</sup>
What is the formula for hypochlorite?,ClO</sup>-</sup>,ClO<sub>2</sub><sup>-</sup>,ClO<sub>3</sub><sup>-</sup>,ClO<sub>4</sub><sup>-</sup>,Cl<sup>-</sup>
What is the formula for chloride?,Cl<sup>-</sup>,ClO<sub>2</sub><sup>-</sup>,ClO<sub>3</sub><sup>-</sup>,ClO<sub>4</sub><sup>-</sup>,ClO</sup>-</sup>
What is the formula for perbromate?,BrO<sub>4</sub><sup>-</sup>,BrO<sub>3</sub><sup>-</sup>,BrO<sub>2</sub><sup>-</sup>,BrO<sup>-</sup>,Br<sup>-</sup>
What is the formula for bromate?,BrO<sub>3</sub><sup>-</sup>,BrO<sub>4</sub><sup>-</sup>,BrO<sub>2</sub><sup>-</sup>,BrO<sup>-</sup>,Br<sup>-</sup>
What is the formula for bromite?,BrO<sub>2</sub><sup>-</sup>,BrO<sub>3</sub><sup>-</sup>,BrO<sub>4</sub><sup>-</sup>,BrO<sup>-</sup>,Br<sup>-</sup>
What is the formula for hypobromite?,BrO<sup>-</sup>,BrO<sub>2</sub><sup>-</sup>,BrO<sub>3</sub><sup>-</sup>,BrO<sub>4</sub><sup>-</sup>,Br<sup>-</sup>
What is the formula for bromide?,Br<sup>-</sup>,BrO<sub>2</sub><sup>-</sup>,BrO<sub>3</sub><sup>-</sup>,BrO<sub>4</sub><sup>-</sup>,BrO<sup>-</sup>
What is the formula for periodate?,IO<sub>4</sub><sup>-</sup>,IO<sub>3</sub><sup>-</sup>,IO<sub>2</sub><sup>-</sup>,IO<sup>-</sup>,I<sup>-</sup>
What is the formula for iodate?,IO<sub>3</sub><sup>-</sup>,IO<sub>4</sub><sup>-</sup>,IO<sub>2</sub><sup>-</sup>,IO<sup>-</sup>,I<sup>-</sup>
What is the formula for iodite?,IO<sub>2</sub><sup>-</sup>,IO<sub>3</sub><sup>-</sup>,IO<sub>4</sub><sup>-</sup>,IO<sup>-</sup>,I<sup>-</sup>
What is the formula for hypoiodite?,IO<sup>-</sup>,IO<sub>2</sub><sup>-</sup>,IO<sub>3</sub><sup>-</sup>,IO<sub>4</sub><sup>-</sup>,I<sup>-</sup>
What is the formula for iodide?,I<sup>-</sup>,IO<sub>2</sub><sup>-</sup>,IO<sub>3</sub><sup>-</sup>,IO<sub>4</sub><sup>-</sup>,IO<sup>-</sup>
What is the formula for arsenate?,AsO<sub>4</sub><sup>3-</sup>,AsO<sub>3</sub><sup>-</sup>,AsO<sub>4</sub><sup>2-</sup>,AsO<sub>3</sub><sup>2-</sup>,AsO<sub>3</sub><sup>3-</sup>
What is the formula for <i>ortho</i>-arsenite?,AsO<sub>3</sub><sup>3-</sup>,AsO<sub>4</sub><sup>3-</sup>,AsO<sub>3</sub><sup>-</sup>,AsO<sub>4</sub><sup>-</sup>,AsO<sub>2</sub><sup>-</sup>
What is the formula for <i>meta</i>-arsenite?,AsO<sub>2</sub><sup>-</sup>,AsO<sub>3</sub><sup>3-</sup>,AsO<sub>3</sub><sup>-</sup>,AsO<sub>4</sub><sup>3-</sup>,AsO<sub>4</sub><sup>-</sup>
What is the formula for selenate?,SeO<sub>4</sub><sup>2-</sup>,SeO<sub>3</sub><sup>2-</sup>,SeO<sub>4</sub><sup>3-</sup>,SeO<sub>4</sub><sup>4-</sup>,SeO<sub>3</sub><sup>3-</sup>
What is the formula for hydrogen selenate?,HSeO<sub>4</sub><sup>-</sup>,HSeO<sub>3</sub><sup>-</sup>,HSeO<sub>4</sub><sup>2-</sup>,HSeO<sub>3</sub><sup>2-</sup>,HSeO<sub>2</sub><sup>-</sup>
What is the formula for hydrogen sulfide?,SH<sup>-</sup>,H<sub>2</sub>S,S<sub>2</sub>H<sup>-</sup>,H<sub>2</sub>S<sup>-</sup>,H<sub>2</sub>S<sub>2</sub><sup>-</sup>
What is the formula for hydroxide?,OH<sup>-</sup>,H<sub>2</sub>O,O<sub>2</sub>H<sup>-</sup>,H<sub>2</sub>O<sup>-</sup>,H<sub>2</sub>O<sub>2</sub><sup>-</sup>
What is the formula for cyanide?,CN<sup>-</sup>,OCN<sup>-</sup>,SCN<sup>-</sup>,CNO<sub>2</sub><sup>-</sup>,CNS<sub>2</sub><sup>-</sup>
What is the formula for cyanate?,OCN<sup>-</sup>,CN<sup>-</sup>,SCN<sup>-</sup>,CNO<sub>2</sub><sup>-</sup>,CNS<sub>2</sub><sup>-</sup>
What is the formula for thiocyanate?,SCN<sup>-</sup>,CN<sup>-</sup>,OCN<sup>-</sup>,CNO<sub>2</sub><sup>-</sup>,CNS<sub>2</sub><sup>-</sup>
What is the formula for ammonium?,NH<sub>4</sub><sup>+</sup>,NH<sub>3</sub>,NH<sub>2</sub><sup>-</sup>,NH<sub>4</sub><sup>-</sup>,NH<sub>3</sub><sup>+</sup>
What is the formula for chromate?,CrO<sub>4</sub><sup>2-</sup>,Cr<sub>2</sub>O</sub>7</sub><sup>2-</sup>,MnO<sub>4</sub><sup>-</sup>,Cr<sup>3+</sup>,CrO<sub>3</sub>
What is the formula for dichromate?,Cr<sub>2</sub>O</sub>7</sub><sup>2-</sup>,CrO<sub>4</sub><sup>2-</sup>,MnO<sub>4</sub><sup>-</sup>,Cr<sup>3+</sup>,CrO<sub>3</sub>
What is the formula for permanganate?,MnO<sub>4</sub><sup>-</sup>,MnO<sub>4</sub><sup>2-</sup>,MnO<sub>3</sub><sup>-</sup>,MnO<sub>3</sub><sup>2-</sup>,Mn<sup>2+</sup>
What is the formula for nitride?,N<sup>3-</sup>,N<sup>2-</sup>,N<sup>-</sup>,NO<sub>3</sub><sup>-</sup>,N<sub>3</sub><sup>-</sup>
What is the formula for azide?,N<sub>3</sub><sup>-</sup>,N<sup>3-</sup>,N<sup>2-</sup>,N<sup>-</sup>,N<sub>2</sub>
What is the formula for oxide?,O<sup>2-</sup>,O<sub>2</sub><sup>2-</sup>,O<sub>2</sub><sup>-</sup>,O<sub>3</sub>,O<sup>-</sup>
What is the formula for peroxide?,O<sub>2</sub><sup>2-</sup>,O<sup>2-</sup>,O<sub>2</sub><sup>-</sup>,O<sub>3</sub>,O<sup>-</sup>
What is the formula for fluoride?,F<sup>-</sup>,F<sub>2</sub><sup>-</sup>,FO<sub>2</sub><sup>-</sup>,FO<sub>3</sub><sup>-</sup>,H<sub>2</sub>F<sup>+</sup>
What is the formula for phosphide?,P<sup>3-</sup>,P<sup>2-</sup>,P<sup>-</sup>,PO<sub>4</sub><sup>3-</sup>,P<sub>3</sub><sup>-</sup>
What is the formula for sulfide?,S<sup>2-</sup>,S<sub>2</sub><sup>2-</sup>,SO<sub>3</sub><sup>2-</sup>,SO<sub>4</sub><sup>2-</sup>,HSO<sub>3</sub><sup>-</sup>
What is the formula for selenide?,Se<sup>2-</sup>,Se<sub>2</sub><sup>2-</sup>,SeO<sub>3</sub><sup>2-</sup>,SeO<sub>4</sub><sup>2-</sup>,HSeO<sub>3</sub><sup>-</sup>
What is the formula for acetate?,C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><sup>-</sup>,C<sub>2</sub>O<sub>4</sub><sup>2-</sup>,CHO<sub>2</sub><sup>-</sup>,C<sub>17</sub>H<sub>35</sub>O<sub>2</sub><sup>-</sup>,C<sub>7</sub>H<sub>5</sub>O<sub>2</sub><sup>-</sup>
What is the formula for oxalate?,C<sub>2</sub>O<sub>4</sub><sup>2-</sup>,CHO<sub>2</sub><sup>-</sup>,C<sub>17</sub>H<sub>35</sub>O<sub>2</sub><sup>-</sup>,C<sub>7</sub>H<sub>5</sub>O<sub>2</sub><sup>-</sup>,C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><sup>-</sup>
What is the formula for formate?,CHO<sub>2</sub><sup>-</sup>,C<sub>17</sub>H<sub>35</sub>O<sub>2</sub><sup>-</sup>,C<sub>7</sub>H<sub>5</sub>O<sub>2</sub><sup>-</sup>,C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><sup>-</sup>,C<sub>2</sub>O<sub>4</sub><sup>2-</sup>
What is the formula for sterate?,C<sub>17</sub>H<sub>35</sub>O<sub>2</sub><sup>-</sup>,C<sub>7</sub>H<sub>5</sub>O<sub>2</sub><sup>-</sup>,C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><sup>-</sup>,C<sub>2</sub>O<sub>4</sub><sup>2-</sup>,CHO<sub>2</sub><sup>-</sup>
What is the formula for benzoate?,C<sub>7</sub>H<sub>5</sub>O<sub>2</sub><sup>-</sup>,C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><sup>-</sup>,C<sub>2</sub>O<sub>4</sub><sup>2-</sup>,CHO<sub>2</sub><sup>-</sup>,C<sub>17</sub>H<sub>35</sub>O<sub>2</sub><sup>-</sup>
What is the formula for tungstate?,WO<sub>4</sub><sup>-</sup>,PbO<sub>3</sub><sup>2-</sup>,SnO<sub>3</sub><sup>2-</sup>,SbO<sub>3</sub><sup>-</sup>,MoO<sub>4</sub><sup>2-</sup>
What is the formula for plumbate?,PbO<sub>3</sub><sup>2-</sup>,SnO<sub>3</sub><sup>2-</sup>,SbO<sub>3</sub><sup>-</sup>,MoO<sub>4</sub><sup>2-</sup>,AlO<sub>2</sub><sup>-</sup>
What is the formula for stanate?,SnO<sub>3</sub><sup>2-</sup>,SbO<sub>3</sub><sup>-</sup>,MoO<sub>4</sub><sup>2-</sup>,AlO<sub>2</sub><sup>-</sup>,AuO<sub>2</sub><sup>-</sup>
What is the formula for antimonate?,SbO<sub>3</sub><sup>-</sup>,MoO<sub>4</sub><sup>2-</sup>,AuO<sub>2</sub><sup>-</sup>,SnO<sub>3</sub><sup>2-</sup>,AlO<sub>2</sub><sup>-</sup>
What is the formula for molybdate?,MoO<sub>4</sub><sup>2-</sup>,AlO<sub>2</sub><sup>-</sup>,AuO<sub>2</sub><sup>-</sup>,SnO<sub>3</sub><sup>2-</sup>,AlO<sub>2</sub><sup>-</sup>
What is the formula for aluminate?,AlO<sub>2</sub><sup>-</sup>,AuO<sub>2</sub><sup>-</sup>,SnO<sub>3</sub><sup>2-</sup>,WO<sub>4</sub><sup>-</sup>,ArO<sub>2</sub><sup>-</sup>
What is the formula for aurate?,AuO<sub>2</sub><sup>-</sup>,SnO<sub>3</sub><sup>2-</sup>,AlO<sub>2</sub><sup>-</sup>,ArO<sub>2</sub><sup>-</sup>,PtO<sub>3</sub><sup>2-</sup>
What is the formula for platinate,PtO<sub>3</sub><sup>2-</sup>,ArO<sub>2</sub><sup>-</sup>,SnO<sub>3</sub><sup>2-</sup>,AlO<sub>2</sub><sup>-</sup>,AuO<sub>2</sub><sup>-</sup>
